chem_diff,goal_diff,team_1,team_2,date
3778.2784333912277,2,478,164,2006-06-27
1143.0418676255867,2,481,482,2006-07-08
-2154.508776513845,2,449,207,2014-06-23
-9345.585049019492,2,202,455,2010-06-22
-13550.567756101553,2,624,451,2014-06-22
-14096.685289899791,2,209,471,2006-06-09
-25159.503862130812,2,214,212,2014-06-14
-37487.17005579022,2,203,478,2010-06-17
8629.865428873065,2,202,203,2010-06-27
42944.1691905918,3,205,656,2014-06-23
31587.270037806054,3,205,4469,2006-06-27
30339.526338536503,3,164,628,2014-06-23
26418.967155002803,3,459,2659,2018-06-18
8387.306481214988,3,205,627,2006-06-22
-1336.7107437572595,3,478,215,2014-06-15
1992.731056552173,3,208,471,2018-06-24
-1238.8561704273889,3,212,454,2018-06-25
-10167.036842621179,3,208,455,2014-06-14
8346.803708041443,3,202,451,2010-06-17
19086.811537779577,4,477,656,2014-06-18
3168.105882917651,4,457,655,2006-06-19
-719.2615196600054,5,448,2659,2018-06-24
